MOF,T,P,Abs_mol_kg,Exc_mol_kg,Qst_kJmol
MOF5,273,0.01,0.0402940594,0.0399069681,23.7416981014
MOF5,273,0.1,0.394898179,0.3910247896,22.619136970000003
MOF5,273,0.5,1.7459289895,1.7265067138,17.816640116800002
MOF5,273,1.0,3.0207532877,2.9817689905,19.942844643300003
MOF5,273,2.0,5.0846636983,5.006126367,14.524055689599999
MOF5,273,5.0,11.5912910442,11.3904739042,20.984761193
MOF5,273,10.0,21.8017721002,21.3836288999,13.4133911383
MOF5,298,0.01,0.0178640974,0.017509486,22.064751210599997
MOF5,298,0.1,0.1762659129,0.1727180505,20.4498422157
MOF5,298,0.5,0.833271506,0.8154931972,19.731971546999997
MOF5,298,1.0,1.5894963807,1.553841548,19.5379265964
MOF5,298,2.0,2.8714945653,2.7997871243,18.1413897772
MOF5,298,5.0,6.1073857107,5.9250308674,13.0484890871
MOF5,298,10.0,11.619618074,11.243865999,26.324094151999997
MOF5,323,0.01,0.00927459,0.0089474292,20.205251568399998
MOF5,323,0.1,0.0919082162,0.0886353509,19.5936350478
MOF5,323,0.5,0.4427662975,0.4263739527,18.6482135034
MOF5,323,1.0,0.8738861906,0.8410310834,19.6292212334
MOF5,323,2.0,1.7012598171,1.6352654212,18.4766181391
MOF5,323,5.0,3.7353593934,3.568190218,17.3054880763
MOF5,323,10.0,7.0267316785,6.68474768,16.0226155072
